Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270032","Holdings with land size 2-<3","2010","2012","No","20073","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270033","Holdings with land size 2-<5","2000","1998","ha","1562069","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270033","Holdings with land size 2-<5","2000","1998","No","46639","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270034","Holdings with land size 3-<4","2010","2012","ha","11989","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270034","Holdings with land size 3-<4","2010","2012","No","3150","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270035","Holdings with land size 4-<5","2010","2012","ha","11989","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270035","Holdings with land size 4-<5","2010","2012","No","3150","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270036","Holdings with land size 5-<10","2010","2012","ha","11573","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270036","Holdings with land size 5-<10","2010","2012","No","1665","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270037","Holdings with land size 10-<20","2010","2012","ha","77769","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270037","Holdings with land size 10-<20","2010","2012","No","1871","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270060","Holdings owned by the holder or in owner-like possession","2010","2012","ha","304638","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","6200","Percentage of total area","270060","Holdings owned by the holder or in owner-like possession","2010","2012","%","82","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270060","Holdings owned by the holder or in owner-like possession","2010","2012","No","320021","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","6201","Percent of total number","270060","Holdings owned by the holder or in owner-like possession","2010","2012","%","99.5","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270061","Holdings rented from others","2010","2012","ha","59539","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","6200","Percentage of total area","270061","Holdings rented from others","2010","2012","%","16","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270061","Holdings rented from others","2010","2012","No","18171","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","6201","Percent of total number","270061","Holdings rented from others","2010","2012","%","5.7","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270062","Holdings operated under other forms of tenure","2010","2012","ha","7432","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","6200","Percentage of total area","270062","Holdings operated under other forms of tenure","2010","2012","%","2","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270062","Holdings operated under other forms of tenure","2010","2012","No","15457","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","6201","Percent of total number","270062","Holdings operated under other forms of tenure","2010","2012","%","4.8","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270070","Civil persons","2000","1998","ha","451984","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","6200","Percentage of total area","270070","Civil persons","2000","1998","%","23.92","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270070","Civil persons","2000","1998","No","466716","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","6201","Percent of total number","270070","Civil persons","2000","1998","%","99.98","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270071","Juridical","2000","1998","ha","1437514","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","6200","Percentage of total area","270071","Juridical","2000","1998","%","76.08","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270071","Juridical","2000","1998","No","93","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","6201","Percent of total number","270071","Juridical","2000","1998","%","0.02","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270052","Holdings operated by civil persons, male","2010","2012","No","292990","A","Official figure","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","008","Albania","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2012","%","91.1","E","Estimated value","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270051","Holdings operated by civil persons, female","2010","2012","No","28502","A","Official figure","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","008","Albania","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2012","%","8.9","E","Estimated value","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270050","Holdings operated by civil persons, total","2010","2012","No","321492","A","Official figure","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","008","Albania","60851","Number","270080","Household members, total","1990","1995","persons","2433700","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","5019","Average persons per holding","270080","Household members, total","1990","1995","persons","5.5","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","60851","Number","270092","Household members, engaged in agriculture, male","2010","2012","persons","374955","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60851","Number","270091","Household members, engaged in agriculture, female","2010","2012","persons","309958","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60851","Number","270090","Household members, engaged in agriculture, total","2010","2012","persons","684913","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60851","Number","27010","Hired permanent workers","2010","2012","persons","98264","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","5019","Average persons per holding","27010","Hired permanent workers","2010","2012","persons","0.31","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","27002","Holdings","1970","1973","ha","5544145","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","5017","Average area","27002","Holdings","1970","1973","ha","6.16","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","27002","Holdings","1970","1973","No","899545","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","27002","Holdings","2000","2001","ha","8458680","A","Official figure","This includes 3 350 483 ha of fallow land, which was not explicitely covered in 1970 census."
"WCAD","Structural data from agricultural censuses","012","Algeria","5017","Average area","27002","Holdings","2000","2001","ha","8.26","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","27002","Holdings","2000","2001","No","1023799","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270030","Holdings with land size 0-<1","2000","2001","ha","70516","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270030","Holdings with land size 0-<1","2000","2001","No","223115","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270031","Holdings with land size 1-<2","2000","2001","ha","162315","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270031","Holdings with land size 1-<2","2000","2001","No","128864","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270033","Holdings with land size 2-<5","2000","2001","ha","722275","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270033","Holdings with land size 2-<5","2000","2001","No","239844","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270036","Holdings with land size 5-<10","2000","2001","ha","1200598","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270036","Holdings with land size 5-<10","2000","2001","No","181267","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270037","Holdings with land size 10-<20","2000","2001","ha","1896466","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270037","Holdings with land size 10-<20","2000","2001","No","142980","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270038","Holdings with land size 20-<50","2000","2001","ha","2484971","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270038","Holdings with land size 20-<50","2000","2001","No","88130","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270039","Holdings with land size 50-<100","2000","2001","ha","930765","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270039","Holdings with land size 50-<100","2000","2001","No","14294","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","2700300","Holdings with land size 100-<200","2000","2001","ha","532146","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","2700300","Holdings with land size 100-<200","2000","2001","No","4063","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","2700301","Holdings with land size 200-<500","2000","2001","ha","458628","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","2700301","Holdings with land size 200-<500","2000","2001","No","1242","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270052","Holdings operated by civil persons, male","2000","2001","No","982006","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2001","%","95.92","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270051","Holdings operated by civil persons, female","2000","2001","No","41793","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2001","%","4.08","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270050","Holdings operated by civil persons, total","2000","2001","No","1023799","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60851","Number","270082","Household members, male","2000","2001","persons","5212216","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60851","Number","270081","Household members, female","2000","2001","persons","1695369","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60851","Number","270080","Household members, total","2000","2001","persons","6907585","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","5019","Average persons per holding","270080","Household members, total","2000","2001","persons","6.7","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60851","Number","270092","Household members, engaged in agriculture, male","2000","2001","persons","2580463","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","6202","Percent of total persons","270092","Household members, engaged in agriculture, male","2000","2001","%","37.36","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60851","Number","270091","Household members, engaged in agriculture, female","2000","2001","persons","768984","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","6202","Percent of total persons","270091","Household members, engaged in agriculture, female","2000","2001","%","11.13","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60851","Number","270090","Household members, engaged in agriculture, total","2000","2001","persons","3349447","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","6202","Percent of total persons","270090","Household members, engaged in agriculture, total","2000","2001","%","48.5","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60851","Number","27010","Hired permanent workers","2000","2001","persons","108566","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","5019","Average persons per holding","27010","Hired permanent workers","2000","2001","persons","0.11","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","27002","Holdings","1930","1930","No","1000","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","27002","Holdings","1950","1950","ha","6000","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","5017","Average area","27002","Holdings","1950","1950","ha","3","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","27002","Holdings","1950","1950","No","2000","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","27002","Holdings","1960","1960","ha","4662","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","5017","Average area","27002","Holdings","1960","1960","ha","2.33","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","27002","Holdings","1960","1960","No","2000","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","27002","Holdings","1970","1970","ha","4212","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","5017","Average area","27002","Holdings","1970","1970","ha","2.19","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","27002","Holdings","1970","1970","No","1923","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","27002","Holdings","1980","1980","ha","2428","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","5017","Average area","27002","Holdings","1980","1980","ha","1.82","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","27002","Holdings","1980","1980","No","1331","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","27002","Holdings","1990","1990","ha","2349","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","5017","Average area","27002","Holdings","1990","1990","ha","6.12","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","27002","Holdings","1990","1990","No","384","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","27002","Holdings","2000","1998/2003","ha","7949","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","5017","Average area","27002","Holdings","2000","1998/2003","ha","1.12","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","27002","Holdings","2000","1998/2003","No","7094","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","27002","Holdings","2010","2008-2012","ha","7690.24","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","5017","Average area","27002","Holdings","2010","2008-2012","ha","1.32","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","27002","Holdings","2010","2008-2012","No","5840","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270030","Holdings with land size 0-<1","1990","1990","ha","35","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","1990","1990","No","77","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270030","Holdings with land size 0-<1","2000","1998/2003","ha","1511","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","2000","1998/2003","No","4064","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270030","Holdings with land size 0-<1","2010","2008-2012","ha","2120","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","2010","2008-2012","No","4087","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270031","Holdings with land size 1-<2","1990","1990","ha","116","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","1990","1990","No","87","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270031","Holdings with land size 1-<2","2000","1998/2003","ha","2245","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","2000","1998/2003","No","1867","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270031","Holdings with land size 1-<2","2010","2008-2012","ha","1405","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","2010","2008-2012","No","877","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270032","Holdings with land size 2-<3","2010","2008-2012","ha","1131","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270032","Holdings with land size 2-<3","2010","2008-2012","No","492","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270033","Holdings with land size 2-<5","1990","1990","ha","268","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270033","Holdings with land size 2-<5","1990","1990","No","98","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270033","Holdings with land size 2-<5","2000","1998/2003","ha","2352","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270033","Holdings with land size 2-<5","2000","1998/2003","No","926","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270034","Holdings with land size 3-<4","2010","2008-2012","ha","358","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270034","Holdings with land size 3-<4","2010","2008-2012","No","101","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270035","Holdings with land size 4-<5","2010","2008-2012","ha","267","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270035","Holdings with land size 4-<5","2010","2008-2012","No","59","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270036","Holdings with land size 5-<10","1990","1990","ha","454","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","1990","1990","No","77","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270036","Holdings with land size 5-<10","2000","1998/2003","ha","1097","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","2000","1998/2003","No","189","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270036","Holdings with land size 5-<10","2010","2008-2012","ha","873","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","2010","2008-2012","No","173","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270037","Holdings with land size 10-<20","1990","1990","ha","340","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","1990","1990","No","27","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270037","Holdings with land size 10-<20","2000","1998/2003","ha","483","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","2000","1998/2003","No","40","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270037","Holdings with land size 10-<20","2010","2008-2012","ha","1536","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","2010","2008-2012","No","52","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270038","Holdings with land size 20-<50","1990","1990","ha","1136","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","1990","1990","No","18","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270038","Holdings with land size 20-<50","2000","1998/2003","ha","261","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","2000","1998/2003","No","8","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270060","Holdings owned by the holder or in owner-like possession","1990","1990","ha","2284","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6200","Percentage of total area","270060","Holdings owned by the holder or in owner-like possession","1990","1990","%","97.23","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270060","Holdings owned by the holder or in owner-like possession","1990","1990","No","358","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6201","Percent of total number","270060","Holdings owned by the holder or in owner-like possession","1990","1990","%","93.23","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270060","Holdings owned by the holder or in owner-like possession","2000","1998/2003","ha","7850","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6200","Percentage of total area","270060","Holdings owned by the holder or in owner-like possession","2000","1998/2003","%","98.75","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270060","Holdings owned by the holder or in owner-like possession","2010","2008-2012","ha","7580","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6200","Percentage of total area","270060","Holdings owned by the holder or in owner-like possession","2010","2008-2012","%","98.6","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270060","Holdings owned by the holder or in owner-like possession","2010","2008-2012","No","5666","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6201","Percent of total number","270060","Holdings owned by the holder or in owner-like possession","2010","2008-2012","%","97","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270061","Holdings rented from others","1990","1990","ha","24","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6200","Percentage of total area","270061","Holdings rented from others","1990","1990","%","1.02","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270061","Holdings rented from others","1990","1990","No","10","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6201","Percent of total number","270061","Holdings rented from others","1990","1990","%","2.6","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270061","Holdings rented from others","2000","1998/2003","ha","99","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6200","Percentage of total area","270061","Holdings rented from others","2000","1998/2003","%","1.25","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270061","Holdings rented from others","2010","2008-2012","ha","111.29","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6200","Percentage of total area","270061","Holdings rented from others","2010","2008-2012","%","1.4","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270061","Holdings rented from others","2010","2008-2012","No","174","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6201","Percent of total number","270061","Holdings rented from others","2010","2008-2012","%","3","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270064","Holdings under more than one form of tenure","1990","1990","ha","41","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6200","Percentage of total area","270064","Holdings under more than one form of tenure","1990","1990","%","1.75","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270064","Holdings under more than one form of tenure","1990","1990","No","16","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6201","Percent of total number","270064","Holdings under more than one form of tenure","1990","1990","%","4.17","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270052","Holdings operated by civil persons, male","2000","1998/2003","No","5636","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","1998/2003","%","79.45","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270052","Holdings operated by civil persons, male","2010","2008-2012","No","4707","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2008-2012","%","80.6","E","Estimated value",""
